RespondentID,Country,Salary,YearsCodedJob,OpenSource,Hobby,CompanySizeNumber,Remote,CareerSatisfaction,Datascientist,Database administrator,Desktop applications developer,Developer with stats/math background,DevOps,Embedded developer,Graphic designer,Graphics programming,Machine learning specialist,Mobile developer,Quality assurance engineer,Systems administrator,Web developer,    
437,Canada,46969.69697,16,0,1,1.00E+03,Not remote,5,1,0,1,0,0,0,0,0,0,1,1,0,1,
447,India,5652.620761,2,0,0,,Not remote,7,0,0,1,0,0,0,0,0,0,0,0,0,1,
448,United Kingdom,62500,14,0,1,1,Remote,7,1,0,1,0,1,0,0,0,0,0,0,1,1,
451,United States,1.10E+05,17,0,1,5.00E+03,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,0,
452,United States,8.20E+04,3,1,0,,Not remote,10,0,0,0,0,0,0,0,0,0,0,0,0,1,
455,India,7752.165614,2,1,1,20,Not remote,10,0,0,0,1,0,0,0,0,0,0,0,0,1,
458,United States,1.04E+05,3,0,1,,Not remote,6,0,0,0,0,0,0,0,0,0,0,0,0,0,
470,Canada,37878.78788,4,0,0,20,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1,
472,United States,52500,3,1,1,500,Not remote,7,1,0,1,1,1,0,0,1,1,0,0,0,0,
473,United States,100501,15,0,1,500,Not remote,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
476,United States,9.30E+04,8,0,1,20,Remote,5,0,0,1,0,0,0,0,0,0,0,0,0,0,
477,United States,9.00E+04,9,1,1,1.00E+03,Not remote,4,0,1,0,0,0,0,0,0,0,0,0,0,1,
491,Canada,53030.30303,7,0,0,10,Not remote,5,0,0,0,0,0,0,0,0,0,1,0,0,0,
492,Canada,99478.78788,20,0,0,,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,0,
500,United States,7.50E+04,1,0,0,20,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1,
502,United States,9.50E+04,7,0,0,20,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1,
505,United States,73200,10,0,1,10,Remote,8,0,1,0,0,1,0,0,0,0,0,0,1,1,
511,United States,1.40E+05,15,0,1,,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1,
518,United States,8.60E+04,20,0,1,1,Not remote,8,0,0,0,0,0,1,0,0,0,0,0,0,0,
519,India,11745.70548,5,1,1,1.00E+03,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1,
526,United States,9.00E+04,2,0,0,20,Not remote,7,0,0,0,0,0,0,0,0,0,1,0,0,0,
531,United States,1.60E+05,10,1,1,20,Not remote,8,0,0,0,0,1,0,0,0,0,0,0,1,1,
534,United Kingdom,3.20E+04,3,0,1,100,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1,
535,Germany,35483.87097,2,1,1,20,Not remote,9,0,0,0,0,0,0,0,1,0,0,0,0,1,
563,United States,6.00E+04,3,0,0,100,Not remote,5,0,0,0,0,1,0,0,0,0,0,0,0,1,
568,United States,106400,19,0,1,1.00E+03,Remote,6,0,0,1,0,0,0,0,0,0,0,0,1,1,
582,India,9396.564381,4,0,1,,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1,
583,United States,1.35E+05,7,0,1,500,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1,
587,United States,1.40E+05,20,1,1,1.00E+03,Remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1,
591,United States,7.70E+04,7,0,1,20,Not remote,4,0,0,1,1,0,0,0,0,0,0,0,0,0,
610,United States,1.05E+05,2,0,1,5.00E+03,Not remote,9,0,0,0,0,0,0,0,0,0,0,1,0,0,
612,United States,6.20E+04,6,0,1,100,Not remote,8,0,0,1,0,0,0,0,0,0,0,0,0,0,
615,United States,1.50E+05,18,1,1,5.00E+03,Not remote,9,0,0,1,0,0,0,0,0,0,0,0,0,1,
626,United States,1.29E+05,17,0,1,100,Remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1,
629,United States,6.50E+04,5,0,0,1.00E+03,Not remote,9,0,1,0,0,0,0,0,0,0,0,0,0,1,
633,United States,1.15E+05,20,1,1,100,Remote,9,0,0,1,0,0,0,0,0,0,1,0,0,1,
635,Canada,40909.09091,5,0,1,100,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1,
644,United States,1.25E+05,7,1,1,10,Remote,9,0,0,0,0,0,0,0,0,0,1,0,0,1,
647,United States,9.50E+04,20,0,1,20,Not remote,9,0,0,0,0,0,1,0,0,0,0,0,0,0,
649,United States,8.80E+04,8,1,1,20,Remote,8,0,0,0,0,0,0,1,0,0,0,0,0,1,
669,United States,117250,20,1,1,20,Not remote,8,0,0,0,0,0,0,0,0,0,1,0,0,1,
674,United States,1.55E+05,12,1,1,100,Not remote,7,0,0,0,0,0,0,0,0,0,1,0,0,0,
679,Canada,63636.36364,5,0,0,10,Not remote,5,0,0,0,0,0,0,0,0,0,1,0,1,1,
683,United States,9.50E+04,8,1,1,20,Not remote,5,0,0,1,1,1,1,0,0,1,0,0,1,0,
689,United States,1.10E+05,3,0,1,,Not remote,10,0,0,1,1,0,0,0,0,0,0,0,0,1,
690,United States,8.50E+04,12,1,1,10,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1,
691,United States,6.20E+04,4,0,0,1,Not remote,8,0,0,1,0,0,0,0,0,0,0,0,0,1,
695,United States,1.60E+05,19,0,1,20,Not remote,7,0,0,1,0,0,0,0,0,0,0,0,0,1,
702,United States,9.30E+04,12,0,0,20,Not remote,8,0,0,1,0,0,0,0,0,0,0,0,0,0,
704,United States,9.50E+04,3,1,0,100,Not remote,7,0,0,0,0,1,0,0,0,0,0,0,0,0,
708,United States,8.20E+04,19,0,0,1.00E+03,Not remote,9,0,0,1,0,0,0,0,0,0,0,0,0,1,
718,Canada,49242.42424,4,1,1,100,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,1,1,
723,United States,1.00E+05,20,1,1,,Not remote,8,0,0,1,0,0,0,0,0,0,0,0,1,1,
725,United States,1.07E+05,13,0,1,,Not remote,7,0,1,1,1,0,0,0,0,0,1,0,0,1,
728,India,2114.226986,2,0,1,10,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1,
731,Germany,35483.87097,3,0,1,1.00E+03,Not remote,9,0,0,0,0,1,0,0,0,0,0,0,1,1,
735,India,11011.59888,2,1,1,,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1,
744,United States,1.16E+05,9,0,1,,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1,
749,Germany,49677.41935,4,0,1,1.00E+03,Not remote,5,0,0,0,0,0,1,0,0,0,0,0,0,0,
751,United States,7.20E+04,3,0,1,,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1,
759,United States,118500,2,1,1,,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,0,
771,United States,1.78E+05,16,0,0,,Remote,7,0,1,0,0,0,0,0,0,0,0,0,0,0,
775,United States,1.11E+05,8,0,1,,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1,
779,United States,5.10E+04,20,0,0,10,Remote,4,0,1,1,0,0,0,0,0,0,0,0,1,1,
787,Germany,63440.86022,6,0,1,20,Remote,9,1,0,0,1,0,0,0,0,1,0,0,0,0,
795,United States,9.00E+04,1,0,1,1.00E+03,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1,
808,United States,9.00E+04,5,0,1,1.00E+03,Not remote,10,0,1,1,0,0,1,0,0,0,0,0,0,1,
810,United States,1.00E+05,13,0,0,20,Not remote,8,0,0,1,0,0,1,0,1,0,1,0,0,0,
811,Canada,90909.09091,20,0,1,100,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,0,
819,United States,9.40E+04,5,1,0,,Not remote,9,1,0,1,0,0,0,0,0,0,0,0,0,0,
823,United States,9.00E+04,19,1,1,100,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,0,
828,Canada,68181.81818,3,0,1,20,Not remote,6,0,0,0,0,0,0,0,1,0,0,0,0,1,
832,United States,1.50E+05,9,1,1,500,Not remote,10,0,0,0,0,0,0,0,0,0,0,0,0,1,
854,United Kingdom,6.00E+04,7,0,1,10,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1,
856,Canada,41893.93939,3,0,1,20,Not remote,8,0,1,1,0,0,0,0,0,0,1,0,1,1,
860,United States,1.35E+05,9,1,1,100,Not remote,8,0,0,0,0,1,0,0,0,0,0,0,0,1,
862,United States,1.43E+05,5,1,1,100,Not remote,5,0,0,1,1,0,1,0,0,0,0,0,1,1,
868,United States,1.43E+05,7,1,1,100,Not remote,9,0,0,0,0,1,0,0,0,0,0,1,1,1,
870,United States,8.50E+04,5,0,1,,Not remote,4,1,0,0,0,0,0,0,0,0,0,0,0,1,
878,Canada,27272.72727,1,0,1,20,Not remote,7,0,1,1,0,1,0,0,0,0,1,0,1,1,
884,Canada,83333.33333,14,0,1,1.00E+03,Not remote,8,0,0,1,0,0,0,0,0,0,1,0,0,1,
885,Germany,26881.72043,8,0,0,10,Not remote,5,0,0,1,0,0,0,0,0,0,0,0,0,0,
900,United States,1.37E+05,9,0,0,,Not remote,7,0,0,0,0,0,0,0,0,0,1,0,0,0,
907,United States,6.60E+04,4,0,1,5.00E+03,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1,
910,United States,1.33E+05,5,0,1,,Not remote,10,1,0,0,0,0,0,0,0,1,0,0,0,0,
918,Canada,63636.36364,4,1,1,100,Not remote,8,0,0,0,0,0,1,0,0,0,0,0,1,1,
921,United Kingdom,31250,7,0,1,1,Not remote,4,0,1,1,0,0,1,0,0,0,0,1,1,1,
928,Germany,64516.12903,16,0,1,100,Not remote,8,0,1,1,0,0,0,0,0,0,0,0,1,0,
930,United States,111500,19,1,1,100,Not remote,8,0,0,1,0,1,0,0,0,0,0,0,1,1,
931,United Kingdom,43350,4,0,0,20,Not remote,3,0,0,0,0,0,0,0,0,0,0,0,0,1,
956,United States,1.50E+05,6,0,1,100,Not remote,9,0,0,0,0,0,1,0,0,0,0,0,0,0,
962,United Kingdom,63750,11,0,1,20,Not remote,9,0,0,0,0,1,0,0,0,0,0,0,1,1,
973,United States,9.00E+04,4,0,1,20,Not remote,8,1,0,1,1,0,0,0,1,1,0,0,0,0,
979,United Kingdom,57500,10,0,0,5.00E+03,Not remote,4,0,0,0,0,0,0,0,0,0,0,0,0,1,
980,United States,1.47E+05,20,0,1,10,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1,
981,Canada,37878.78788,3,1,1,10,Not remote,7,0,0,1,0,0,1,0,0,1,0,0,0,1,
982,Canada,31818.18182,1,0,1,10,Not remote,4,0,1,0,0,0,0,0,0,0,0,0,1,1,
987,United States,1.60E+05,20,0,1,20,Not remote,6,0,0,0,1,1,0,0,0,0,0,0,1,1,
992,United States,88888,7,0,1,100,Not remote,8,0,0,0,1,0,0,0,0,0,0,0,0,1,
1005,United States,9.70E+04,17,0,1,100,Not remote,9,0,0,1,0,0,0,0,0,0,0,0,0,1,
1006,United States,9.50E+04,4,0,1,20,Not remote,10,0,0,1,0,0,0,0,0,0,0,0,0,0,
1015,United States,5.40E+04,1,0,1,5.00E+03,Not remote,10,0,0,0,0,0,0,0,0,0,1,0,0,1,
1017,United States,1.19E+05,8,0,1,10,Remote,10,1,0,0,1,0,0,0,0,1,0,0,0,1,
1022,United States,1.35E+05,5,0,1,,Not remote,7,0,0,0,0,1,0,0,0,0,0,0,0,1,
1023,United States,8.20E+04,3,0,1,100,Not remote,10,0,0,1,0,0,0,0,0,0,0,0,0,1,
1024,United States,4.70E+04,1,0,1,,Not remote,9,0,0,0,0,0,0,0,0,0,1,0,0,1,
1033,United States,1.33E+05,20,1,1,100,Remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1,
1035,United States,4.00E+04,1,0,0,500,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1,
1040,Germany,86021.50538,13,1,1,100,Not remote,7,0,0,0,0,1,0,0,0,0,0,0,0,1,
1044,United States,8.40E+04,15,1,1,20,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1,
1055,United States,5.50E+04,1,1,0,1.00E+03,Not remote,10,0,0,0,0,0,0,0,0,0,0,0,0,1,
1058,United Kingdom,87500,12,0,1,20,Not remote,6,0,0,0,0,0,0,0,0,0,0,0,0,0,
1063,United States,1.15E+05,4,1,0,10,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1,
1071,Canada,7.50E+04,17,1,1,20,Not remote,9,0,0,1,0,0,0,0,0,0,0,0,0,1,
1073,United Kingdom,37500,4,1,1,100,Not remote,8,1,1,1,0,0,0,0,0,0,1,0,0,1,
1087,Germany,69892.47312,15,0,0,1.00E+04,Not remote,10,0,0,0,0,0,0,0,0,0,0,0,0,1,
1105,United States,8.50E+04,12,0,1,1.00E+04,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1,
1116,United States,1.70E+05,20,0,1,1.00E+03,Not remote,10,0,0,1,0,0,0,0,0,0,0,1,0,0,
1117,United States,1.50E+05,20,1,1,500,Not remote,9,0,0,0,0,1,0,0,0,0,0,0,0,0,
1118,United States,1.30E+05,4,0,1,100,Not remote,10,0,0,0,0,0,0,0,0,0,0,0,0,1,
1119,United States,1.10E+05,13,0,1,500,Not remote,10,0,0,0,0,1,0,0,0,0,0,0,0,1,
1122,United States,6.50E+04,3,0,1,1.00E+04,Not remote,4,0,0,1,0,0,0,0,0,0,0,0,0,1,
1125,United Kingdom,57500,17,0,1,1.00E+04,Not remote,6,0,0,1,0,0,0,0,0,0,0,0,0,0,
1126,Germany,77419.35484,20,1,0,100,Not remote,8,0,0,0,0,1,0,0,0,0,0,0,0,1,
1130,United States,1.35E+05,13,0,1,100,Not remote,9,0,1,1,1,1,1,0,0,1,0,0,1,1,
1142,Canada,58522.72727,6,1,1,100,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1,
1146,United States,1.74E+05,8,0,1,100,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1,
1148,United States,8.80E+04,10,1,1,100,Not remote,7,0,1,1,0,1,0,0,0,0,0,0,0,1,
1150,United States,1.25E+05,9,0,1,20,Not remote,8,0,0,1,0,0,0,1,0,0,1,0,0,1,
1151,United States,1.39E+05,11,1,1,10,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1,
1154,United States,4.00E+04,1,0,1,20,Not remote,9,1,0,1,0,0,0,0,0,0,0,0,0,0,
1162,United States,7.80E+04,5,0,0,500,Not remote,7,0,0,1,0,0,0,0,0,0,0,0,0,1,
1166,United States,9.50E+04,3,1,1,20,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1,
1170,United States,8.00E+04,13,0,1,100,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1,
1176,United States,73736,16,0,1,20,Not remote,5,0,1,0,1,0,0,0,0,0,0,0,1,1,
1177,United States,5.40E+04,3,0,1,20,Not remote,9,0,1,0,0,0,0,0,0,0,0,0,0,1,
1186,United Kingdom,59375,8,0,0,20,Not remote,8,0,1,1,1,1,0,0,0,0,0,0,0,1,
1187,United Kingdom,50062.5,3,0,1,500,Not remote,10,0,0,0,0,0,0,0,0,0,0,0,0,1,
1190,India,10277.49229,1,1,1,10,Not remote,4,0,1,0,0,0,0,0,0,0,1,0,0,1,
1191,United States,1.30E+05,7,1,0,1.00E+04,Not remote,8,0,0,1,0,0,0,0,0,0,1,0,0,1,
1207,United States,1.10E+05,14,0,1,100,Remote,10,0,0,0,0,0,0,0,0,0,0,0,0,1,
1211,India,16150.34503,3,0,0,1,Not remote,7,0,0,0,0,0,0,0,0,0,1,0,0,1,
1213,United States,1.45E+05,20,1,1,1.00E+04,Not remote,8,0,0,0,0,1,0,0,0,0,0,0,0,1,
1215,United Kingdom,51250,20,0,0,20,Not remote,6,0,1,1,0,1,0,0,0,0,0,0,1,1,
1216,Canada,54545.45455,7,0,1,20,Not remote,6,0,0,0,0,0,0,0,0,0,0,0,0,1,
1226,United Kingdom,5.50E+04,1,1,1,100,Not remote,0,0,0,0,1,0,0,0,0,0,1,0,0,0,
1249,United States,6.20E+04,2,0,1,1,Not remote,10,0,0,1,0,0,1,0,0,0,0,0,0,0,
1250,United Kingdom,156250,20,0,1,1.00E+04,Not remote,6,0,0,0,1,0,0,0,0,0,0,0,0,0,
1264,United Kingdom,36375,2,0,1,1.00E+03,Not remote,4,0,0,1,0,0,0,0,0,0,0,0,0,0,
1266,United States,1.50E+05,12,1,1,20,Not remote,8,0,1,1,0,0,0,1,0,0,0,0,1,1,
1270,Canada,43939.39394,20,0,1,20,Not remote,8,0,1,1,1,1,0,0,0,0,0,1,1,1,
1271,United States,9.10E+04,11,0,1,500,Not remote,6,0,1,1,1,1,0,0,0,0,1,0,1,0,
1272,United States,5.90E+04,3,0,0,500,Not remote,6,0,0,0,0,0,0,0,0,0,0,0,0,1,
1281,United States,7.50E+04,4,1,1,1.00E+03,Not remote,8,0,0,1,0,0,0,0,0,0,0,0,0,1,
1282,United Kingdom,43750,9,1,1,1.00E+03,Not remote,8,0,0,1,0,0,0,0,0,0,0,0,0,1,
1289,Canada,58333.33333,6,1,1,100,Not remote,7,0,0,1,0,0,0,0,0,0,1,0,0,1,
1304,Canada,75757.57576,2,0,1,20,Not remote,8,1,1,0,1,0,0,0,0,0,0,0,0,0,
1307,United States,1.30E+05,12,0,1,10,Not remote,8,0,1,1,0,1,0,0,0,0,0,0,1,1,
1316,United Kingdom,63750,8,1,0,100,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,0,
1317,United Kingdom,7.50E+04,9,1,1,100,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1,
1322,Germany,54838.70968,16,0,1,1,Not remote,6,0,0,1,0,0,1,0,0,0,0,0,0,0,
1324,United States,1.60E+05,18,1,0,20,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1,
1327,United States,1.50E+05,10,1,1,1.00E+04,Not remote,8,0,0,1,0,0,0,0,0,0,0,0,0,1,
1328,United Kingdom,46875,3,0,1,100,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1,
1330,United States,8.50E+04,9,1,1,1,Not remote,8,0,1,0,0,1,0,0,0,0,0,0,0,1,
1331,United States,9.50E+04,20,1,1,1.00E+04,Not remote,7,0,0,1,0,0,0,0,0,0,0,0,0,0,
1337,United States,1.28E+05,19,0,1,1.00E+04,Not remote,8,0,0,1,0,0,1,0,0,0,1,0,0,1,
1351,United Kingdom,52500,7,1,1,500,Not remote,7,0,0,1,0,0,0,0,0,0,0,0,0,1,
